ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
26,80000,1,3,1,35,1,1,1,1,1,1,8051,7784,8256,8931,8335,8680,2194,2124,2354,2715,2267,2172,0
27,220000,2,1,2,24,2,2,1,2,1,1,120495,109543,115098,147336,114387,138547,27707,33756,31802,57731,25189,39630,0
28,160000,2,2,1,38,2,1,1,2,2,2,28411,27604,27252,27214,19710,25237,10089,8139,9331,6854,4203,5546,0
29,170000,2,1,2,29,1,1,2,2,1,1,71184,65316,72716,74551,76463,74326,15250,16656,13930,20305,27908,22677,0
30,120000,2,2,3,32,3,3,3,3,3,3,27939,29740,30022,28090,26537,30181,2836,3056,2922,2370,2388,3934,0
31,80000,1,3,1,29,3,3,3,3,3,3,7885,8972,7107,7672,8951,10024,393,367,300,382,374,364,0
32,210000,2,1,2,51,3,2,3,2,2,3,112566,133866,111951,121330,107204,120182,17874,16016,18175,18736,12115,18445,0
33,160000,2,2,2,34,2,2,2,1,2,2,57670,54837,61581,59301,63147,53772,15760,9336,21627,23283,17253,15792,0
34,160000,1,2,2,25,2,2,1,2,2,2,106926,120543,96720,73477,102425,99579,32051,20285,25100,25568,28339,28359,0
35,180000,2,2,2,42,1,1,1,1,1,1,12521,13242,14728,17090,15661,14167,6094,7808,7008,8050,8652,5877,0
36,140000,2,2,1,24,3,3,3,3,3,3,87377,100661,72594,87182,90963,84045,8240,8204,4620,9336,5001,8008,0
37,260000,1,1,1,36,2,1,2,2,2,1,95946,104706,134707,122815,112661,99536,25045,41871,43977,37954,35854,38286,0
38,210000,2,1,2,21,1,1,1,1,1,1,96293,122381,115708,107328,86964,107910,52810,73008,70204,62404,45806,54222,0
39,110000,2,2,2,23,3,3,3,3,3,3,51565,53334,65689,54361,62113,68753,4656,7264,8703,5965,6494,9042,1
40,110000,2,3,2,36,3,3,3,3,3,3,25199,30612,24703,29429,25839,31592,2544,2484,2005,1716,1980,3198,0
41,170000,2,2,2,41,1,1,0,1,0,1,25414,24500,25793,25215,28920,28489,14334,17983,20018,19650,13947,17503,0
42,120000,2,3,2,36,1,1,1,2,1,2,69231,66718,68302,62006,63007,72362,24043,29090,27008,19510,20310,30319,0
43,120000,2,2,2,33,3,3,3,3,3,3,30944,27835,25222,23703,24689,27745,389,413,347,318,355,655,0
44,60000,2,2,1,32,1,1,1,1,1,1,40546,37542,34723,37612,30581,36754,9944,14685,16001,13362,11674,17790,0
45,140000,2,4,2,21,0,1,0,0,0,0,126039,109271,124805,129614,137529,135768,78230,63758,87374,55143,114059,70493,0
46,190000,1,1,2,28,3,3,3,3,3,3,78885,68653,82428,81151,78040,78345,8271,7306,8562,10807,8695,9657,0
47,60000,2,2,1,30,2,2,2,2,2,2,59301,49211,58101,53914,47006,46302,9069,6975,8860,6725,8028,5624,1
48,190000,1,1,2,44,3,3,3,3,3,3,112500,126632,135362,101157,113293,131956,4499,6780,5099,5987,4170,5710,1
49,170000,1,2,1,38,2,3,2,2,2,2,65144,75559,87876,67365,69728,65978,8192,16774,15664,14315,8381,13122,0
50,90000,1,2,2,21,1,1,1,1,1,1,14432,11876,12473,12285,14415,13121,8685,6316,7108,5917,7970,4781,0
51,100000,2,2,2,37,3,3,3,3,3,3,63132,58445,72641,77758,73545,69548,2387,2304,2343,2743,3122,2512,0
52,130000,1,2,1,31,1,1,1,1,1,2,118371,106359,96501,119447,96591,95869,75578,33338,25470,48599,38815,43257,1
53,190000,2,1,1,28,1,1,1,1,1,1,26681,27164,28345,30297,29434,30030,11022,12435,11397,10014,17051,19589,0
54,170000,2,1,1,40,1,1,1,1,1,1,23692,27069,23227,25172,24294,22782,10914,7505,6738,13693,5912,9064,0
55,180000,2,1,1,44,0,0,1,1,0,0,34141,35092,27035,31735,35788,26187,17880,27015,13539,17967,23325,13315,0
56,230000,1,1,3,43,2,2,2,2,2,2,154080,169273,157694,163328,179169,163876,40534,44005,37382,33794,28849,34231,0
57,140000,2,2,2,27,1,1,1,1,1,1,39117,34610,36612,36508,38215,40361,19461,16987,19023,20823,20042,24035,0
58,80000,1,2,2,32,1,1,1,1,1,1,7712,8374,6544,8474,7962,7420,3271,3193,3036,5316,3520,4280,0
59,240000,1,1,2,37,2,1,2,2,2,2,121802,129565,102663,114409,90172,96967,18257,42229,36792,37513,20148,20688,0
60,90000,2,3,1,43,0,1,0,1,1,0,28245,25634,26944,27261,29137,25730,19325,17679,16660,19901,19358,16434,1
61,100000,1,2,2,30,1,1,1,1,1,1,65672,82630,90770,86140,69111,75119,19954,39320,24510,28499,28755,18040,0
62,180000,2,1,1,33,1,0,0,0,0,1,59615,55773,67278,55703,48430,62616,35633,43201,26797,33774,27719,34340,0
63,80000,2,2,1,25,2,2,2,2,2,2,20206,17531,19300,20753,23591,16644,5311,3160,4281,3952,5159,2962,1
64,90000,1,4,1,24,2,1,2,2,2,2,30628,32181,27320,26578,28002,33171,7160,6025,4398,6455,3569,8335,0
65,220000,2,1,2,42,2,2,2,2,2,2,16296,20385,17319,18057,17787,18978,4100,3653,3158,3054,3373,4303,0
66,130000,1,2,1,47,0,0,0,0,0,1,11278,10017,10698,12407,9499,11960,8303,7284,8707,3910,8011,10491,0
67,80000,1,4,2,34,0,1,1,1,1,1,58677,61420,57663,82758,74363,66227,39937,30053,37601,40275,49529,44209,1
68,170000,2,1,2,44,1,2,2,2,2,2,100718,99140,91947,91385,84354,77685,27921,25849,15121,24979,17654,21691,0
69,220000,1,1,1,38,2,2,2,2,2,2,136176,135853,143875,141017,150722,145757,29141,25039,25599,29612,26689,30443,0
70,130000,2,2,2,29,2,2,1,1,2,2,64337,83460,78045,83171,85164,76270,16629,27901,23651,19979,25202,22655,0
71,120000,1,2,1,38,2,1,1,1,1,1,42892,46006,34361,43519,32990,34830,16598,20879,17046,19125,14712,14365,0
72,200000,2,1,2,48,2,2,2,2,2,3,9111,7448,8486,9220,8972,7029,1454,1257,1299,1726,1005,1522,0
73,180000,2,1,1,34,0,1,1,1,1,1,113784,133820,144097,128336,123635,157749,64271,65177,92697,57455,66807,78332,0
74,140000,2,2,1,49,0,1,0,1,0,0,105850,82730,96567,98814,88702,89804,71862,50230,74057,89908,62129,63224,0
75,50000,2,3,1,21,3,3,3,3,3,3,18572,18918,14122,16545,19677,19552,1223,2139,1687,1656,1739,2704,1
76,170000,2,2,1,42,1,1,1,1,1,2,94770,86809,96116,101024,112104,98161,42851,41100,31457,35632,39920,45178,1
77,80000,2,3,1,35,1,1,2,1,1,2,31170,29406,32145,25507,32085,31556,16314,12061,9425,8267,11201,12016,0
78,180000,1,1,1,32,1,0,1,1,1,1,26120,23537,22865,29870,20029,24324,12271,13043,11672,15243,11149,13909,0
79,200000,2,1,2,35,3,3,3,3,3,3,78475,74452,80153,75254,77221,99254,11500,9396,7905,5218,7773,11267,1
80,210000,2,2,2,21,1,0,1,1,1,1,112484,123994,106466,121205,120498,114154,57930,64667,38037,81135,49273,53030,0
81,220000,2,1,2,33,2,2,2,2,3,2,92709,86232,90870,86152,82896,102633,16207,11389,13489,15538,18915,19962,0
82,170000,2,1,1,38,3,3,3,3,3,3,54385,55086,47571,53290,49454,43646,3355,5338,3721,3360,2997,1843,0
83,150000,2,1,2,48,3,2,3,3,3,3,98944,93656,91665,90412,103542,114058,14405,9212,9863,13043,8067,10887,0
84,200000,2,1,1,30,1,1,1,1,1,1,90882,86654,82646,78635,106049,85224,39994,36127,35839,37087,55775,39912,0
85,120000,2,2,3,27,1,2,2,2,2,2,49830,49557,58649,55567,54901,57234,9019,11369,11150,14869,10797,13036,0
86,80000,2,3,2,30,1,1,1,1,1,1,40818,38902,43686,42985,42426,30398,12032,16179,16738,14650,19183,12201,0
87,190000,2,1,2,43,2,2,2,1,2,2,79400,81892,91158,102978,102161,93719,14486,15278,21546,20853,28199,22566,0
88,140000,1,2,2,37,1,1,1,1,1,0,89097,82547,91067,94034,94850,98447,47724,49515,47385,50555,56442,48795,0
89,80000,2,3,1,30,1,2,2,2,2,2,21333,22271,17904,19607,17509,20902,4872,4006,5090,4180,5728,5887,0
90,180000,2,1,2,39,2,1,1,1,2,2,40772,46901,45513,35432,41813,47216,13125,11705,19397,6707,12179,13852,0
91,10000,2,3,2,35,1,1,0,1,1,1,2862,2851,2874,2974,2625,3176,1287,1752,1599,744,1463,1805,1
92,150000,2,2,2,43,0,0,0,0,1,1,54038,48023,61534,47051,53659,58134,42413,30606,22557,27205,33948,25351,0
93,210000,2,1,1,28,1,1,1,1,1,1,104250,95896,95971,72963,98919,96235,23537,24233,44419,20383,37237,29117,0
94,50000,1,3,1,32,3,3,3,3,3,3,31266,25207,31810,25336,30900,28943,5276,3668,4418,4003,5350,4413,0
95,170000,1,2,1,31,0,0,1,0,0,0,102723,100530,113898,109488,92276,119356,58406,50864,86491,81237,47653,98267,0
96,200000,1,1,2,21,1,1,0,1,1,1,112514,116148,102253,99709,107877,108083,68457,64622,50070,56519,70269,60905,0
97,100000,1,3,2,37,1,1,0,0,1,1,55661,55031,49187,51203,63505,53691,39091,39328,21892,29600,29665,30220,0
98,150000,2,2,2,37,2,2,2,2,2,2,42771,37544,45240,42789,39318,46791,9659,10806,9172,11928,5906,11266,0
99,170000,2,2,2,35,0,0,1,0,0,0,19713,19134,22109,20788,22618,22935,12749,11712,14805,10506,16331,12006,0
100,160000,1,2,1,32,1,0,1,1,1,1,71598,69929,71347,67916,70192,73699,46733,56910,43746,32464,25888,43253,0
101,70000,1,2,1,22,3,3,3,3,3,3,42215,37969,43232,45925,44196,39552,4984,3671,2873,4258,4886,4617,0
102,190000,1,2,2,31,0,1,1,0,1,0,53379,57228,46694,60729,60939,64782,23055,28010,33052,26279,35927,47136,0
103,160000,1,2,2,31,1,1,1,1,1,1,61422,63823,59953,65189,62674,52051,25381,29492,30692,19606,23745,20415,0
104,100000,2,2,1,27,2,3,2,2,2,2,22198,26253,23554,22876,33755,26482,3490,3366,5359,3742,5874,4292,0
105,20000,1,3,2,33,2,2,2,2,2,2,16397,13879,12777,14996,16613,13099,3189,2042,2528,3549,1825,2726,0
106,100000,1,2,1,38,1,1,2,2,1,1,19190,17645,23590,22907,18840,20165,4665,3194,6659,5227,6557,8513,0
107,150000,2,4,2,51,0,1,1,0,1,1,28669,26608,24166,31205,31898,26815,16771,22257,15151,17862,19254,17266,1
108,140000,1,2,1,36,1,1,0,1,1,1,36462,31252,34228,22194,32374,29972,17421,14907,15965,14840,16112,14119,0
109,120000,2,3,1,37,1,1,1,1,1,1,73092,77789,76293,77808,80515,75913,30834,20836,30536,15864,42152,24059,1
110,270000,2,1,2,34,2,2,2,1,2,2,91198,127753,127519,137937,134704,138167,38503,37499,45056,45084,41365,40951,0
111,140000,1,1,1,21,1,1,1,1,1,0,43251,46617,45248,49618,48128,42297,22668,20256,20312,27997,16929,17054,0
112,90000,2,2,2,34,1,1,0,1,1,1,41771,47467,40487,51226,48643,51993,26226,24268,27631,26483,24304,26760,0
113,140000,2,2,2,35,3,2,2,2,2,2,110708,109677,107600,93997,103781,98915,11636,18898,18438,12332,19029,12419,0
114,120000,1,3,2,57,1,1,1,2,1,1,63863,58455,86652,69880,75527,78882,25200,29915,41244,33260,45398,38714,0
115,220000,1,1,2,33,1,1,1,1,1,1,53033,54684,53331,52287,57873,52656,24429,14896,18229,14985,25244,20417,0
116,110000,2,2,1,37,2,2,2,1,1,2,53677,53358,53332,56116,46730,57956,20663,22209,21207,18619,8384,22908,0
117,170000,2,1,2,34,1,1,1,1,1,1,15556,16360,15243,18103,17997,17908,6500,6259,6087,9920,7579,11800,0
118,190000,2,2,1,24,2,2,2,2,2,2,20830,21166,22995,20276,25757,24448,4534,3132,4646,3871,5808,4061,0
119,210000,1,1,1,45,1,2,1,2,2,2,118302,94281,125543,119724,118708,117085,16673,29887,38962,37543,35026,46707,0
120,160000,1,2,2,41,3,3,3,3,3,3,12684,13563,14399,15058,13157,14219,760,535,1036,1244,806,1007,0
121,130000,2,2,1,42,3,3,3,3,3,3,78824,70744,73585,69158,74974,74617,6820,5444,6856,7718,5561,8134,1
122,240000,2,1,1,26,1,1,1,1,1,1,99557,89779,103412,108620,101490,122043,56705,30937,54502,50062,47659,70345,0
123,190000,2,2,2,47,1,2,1,1,1,1,113407,149580,143283,146778,169248,143301,43806,42794,63507,59197,60756,49373,0
124,130000,1,2,2,22,1,1,1,2,1,2,31918,36394,30592,36710,40819,35971,12218,8919,13316,8333,7771,11067,0
125,130000,2,1,1,40,2,2,2,2,2,2,8228,10217,8750,8709,8032,8173,2057,4508,2619,2046,2528,1824,0
126,140000,2,4,2,54,1,1,1,1,1,1,95692,97750,92220,68673,90080,89029,39670,50427,29945,36243,34826,33013,0
127,210000,2,1,2,26,2,2,2,2,2,2,80261,90073,71101,83859,87526,81043,22127,15936,14287,18231,22559,16713,1
128,190000,1,1,2,29,1,1,1,1,1,1,9936,9889,11129,11741,11469,10571,5397,5497,4718,6277,4661,3785,0
129,190000,2,2,2,35,2,2,3,2,2,2,89636,73830,70750,79738,73406,73705,14955,10365,7966,16556,15931,13331,1
130,160000,2,2,2,30,2,2,2,2,2,2,41715,46709,47758,44251,42768,44310,11346,11565,10368,8130,8399,9862,0
131,120000,1,2,1,21,1,1,1,1,1,1,51298,49420,35231,43678,40243,56051,33870,25108,13694,16633,21145,26003,0
132,230000,2,1,2,35,3,3,3,3,3,3,98914,111916,108830,112879,97748,91597,8263,12402,8525,9727,6506,8161,0
133,150000,2,2,1,25,0,0,0,1,0,1,68575,87355,84758,85758,81176,74479,31386,45347,72683,64280,49999,60024,0
134,230000,1,1,2,39,2,2,3,2,2,2,107182,133022,101039,116084,113738,102750,17207,16649,12131,19604,27611,23397,0
135,90000,2,3,2,26,3,2,2,2,2,2,41319,48991,36297,39429,38096,28171,8309,4869,5669,8464,5605,6522,0
136,170000,1,2,2,48,1,1,1,1,1,1,55744,62846,65130,57574,73087,66280,18199,23877,39689,37546,28420,24419,0
137,200000,2,2,2,27,3,3,3,3,3,3,107720,109734,100348,112274,87390,101753,11929,10352,9250,10526,7558,7587,0
138,150000,2,3,2,32,2,2,2,3,2,2,21461,19644,24360,25014,20645,20602,3414,3861,4218,4992,4647,4669,0
139,120000,2,2,2,42,2,2,2,3,3,2,52618,47679,57213,45640,48770,40314,11687,4456,11574,6542,6784,6370,0
140,170000,2,2,2,23,2,3,3,2,2,2,88894,106802,107748,94733,96267,110566,13333,16681,14901,19918,16776,16517,0
141,70000,2,3,1,37,1,1,1,0,0,1,13292,14824,13567,13932,12560,14569,8957,7213,7901,5038,9757,8507,0
142,230000,2,1,1,46,2,2,2,1,2,2,69794,74236,77453,77107,84114,86477,17387,21533,17755,25075,19305,18059,0
143,130000,2,2,1,21,3,3,2,3,3,3,46350,41012,47062,47267,50588,44410,5339,4422,5693,6631,8068,7586,1
144,130000,1,1,2,36,1,1,0,1,1,1,43834,50939,49374,50088,49245,33243,16933,29638,33775,32631,33140,9480,0
145,210000,1,1,2,37,1,1,1,1,1,1,42643,49775,54235,40989,51038,53137,11511,20188,20750,12632,18805,17794,0
146,240000,2,1,1,42,0,0,0,0,1,0,188972,199241,145453,203767,205441,178577,119828,184437,102676,155329,171254,121722,0
147,110000,1,3,1,23,1,1,0,0,0,1,63671,59198,65866,62127,67486,60081,35796,31917,48020,29208,39451,43786,0
148,100000,2,2,2,23,1,1,1,1,1,1,19894,17654,18830,19354,20605,16964,5666,6610,5469,9638,5235,7181,0
149,210000,2,1,2,39,3,3,3,3,3,3,158707,155561,131047,139982,132965,166272,15815,10848,13286,10935,10097,8308,0
150,190000,1,1,1,37,3,3,3,3,3,3,51070,46527,53757,47557,59252,51486,2617,2590,2553,3446,2584,3282,0
151,180000,1,2,2,37,3,3,2,3,3,2,26838,28002,26599,28197,25314,31236,4176,5990,3004,5152,2791,3259,0
152,190000,2,2,1,38,1,1,1,1,1,1,94376,105854,83174,87244,95788,116332,35017,35578,27041,38262,18832,37537,0
153,90000,2,2,1,28,2,2,2,2,2,2,51134,59348,54422,54596,60153,54651,12614,7309,14269,10366,14533,9616,0
154,150000,1,2,2,37,3,3,3,3,3,3,41691,44948,40768,37967,38909,44611,1374,1840,1521,1138,1304,802,0
155,110000,2,2,1,37,1,1,1,1,1,1,24883,27318,25177,21177,24645,24193,14357,11678,14299,9547,14040,9256,0
156,100000,2,3,1,28,3,3,3,3,3,3,14914,13477,13120,14121,14434,14308,626,473,449,550,508,538,1
157,100000,2,2,1,51,1,1,1,1,1,1,21460,19596,19494,18021,20449,18662,10174,9888,7460,5598,13216,5290,0
158,90000,2,3,2,39,2,2,2,2,3,2,21819,24613,18133,20124,19645,20169,5153,4979,2974,3636,3865,3643,0
159,200000,1,1,1,24,0,0,0,-1,0,-1,71943,80107,84459,84603,89637,75826,83180,81163,75026,62279,94550,69778,0
160,100000,2,1,1,40,1,1,1,1,1,1,86178,76859,55754,78336,84150,71895,33910,31503,28010,31432,37701,25920,0
161,180000,1,1,2,26,2,2,2,2,3,2,43447,48665,47577,50191,43882,49740,7160,8851,9598,8915,8624,7356,0
162,140000,1,1,1,42,2,2,2,2,2,2,31939,29241,35374,36752,34396,27771,6632,6689,8925,9965,7598,5456,1
163,130000,1,4,2,45,1,2,2,2,1,1,45151,46151,44960,53582,50236,49407,11320,14221,10979,14667,12797,12961,0
164,60000,1,2,1,27,3,3,3,3,3,3,25239,22172,27121,24198,25487,26610,1516,1120,1418,1216,1876,1148,0
165,130000,2,2,1,43,3,2,3,2,3,3,28340,31180,33388,33191,33943,29223,7596,6805,5844,8660,6848,4913,0
166,200000,1,2,2,38,3,2,3,3,3,3,67510,68896,86376,82616,76852,68299,8966,7063,11582,6269,10743,6347,0
167,100000,2,2,1,42,3,3,2,2,3,3,49841,56716,54879,54311,44898,55828,7689,11837,8118,9153,6909,8238,0
168,170000,2,1,1,52,1,1,1,1,1,1,96130,77509,97449,85886,100245,85720,42772,40873,42119,35950,59802,34730,0
169,140000,2,2,2,32,0,0,1,1,0,0,68681,60553,69441,62633,62757,65847,47428,48720,42442,43296,35330,54900,0
170,140000,2,2,1,28,1,1,1,1,1,1,103176,115945,98429,92815,108874,120799,40777,47892,44275,36491,43582,50245,0
171,10000,2,3,2,26,3,3,3,3,2,3,1128,910,1232,1080,1078,1210,127,87,197,154,96,163,0
172,130000,1,2,1,27,1,1,1,1,1,1,84821,81839,75067,79053,72449,76028,30385,34405,16519,29900,29850,23494,0
173,120000,2,3,2,34,2,2,2,2,2,2,30431,28554,31361,30654,29283,33701,8553,6067,9294,10479,4755,6168,0
174,230000,1,2,1,38,-1,0,1,0,0,-1,20411,18846,23624,20493,19359,18244,10064,13311,24332,14998,19411,17158,0
175,160000,2,1,1,37,3,3,3,3,3,3,24088,29839,28739,24293,25260,27962,2088,1568,2043,1362,2020,2209,0
176,130000,1,2,2,42,3,3,3,3,3,3,13709,15241,19357,14453,12651,17392,503,932,609,1128,789,522,1
177,160000,2,2,2,35,0,1,1,1,1,0,55302,52181,60915,59095,47655,54704,28209,34413,42325,35839,26413,37221,0
178,120000,1,2,2,48,2,2,2,2,2,2,32925,32731,33283,38137,33362,30512,7612,8051,10838,8489,8142,7805,0
179,250000,1,1,1,32,2,2,2,2,2,2,213022,178536,167926,189957,164989,172499,49228,37374,37671,27140,27385,30073,0
180,200000,2,1,1,59,1,1,1,1,2,1,112415,101639,78230,99379,104761,92069,40941,40657,37521,41293,33317,32479,0
181,200000,2,1,2,40,1,1,1,1,1,1,91196,82315,96496,78243,84132,80437,41652,30036,37062,35804,34168,27829,0
182,160000,1,2,2,27,1,1,1,1,1,1,67868,85649,77129,86373,85662,83893,35206,27083,41024,46819,39422,37368,0
183,20000,2,3,1,25,2,3,2,3,2,2,7514,5735,7992,6978,7301,6941,1280,937,1085,1382,1107,1010,0
184,160000,1,2,1,39,1,2,2,2,2,2,49055,34699,38954,37152,30511,46577,9408,8069,8841,9992,4114,14755,0
185,120000,2,2,1,32,2,2,2,2,2,2,36664,33272,36769,39074,34505,40845,9420,9215,5599,8339,7089,9623,1
186,110000,2,2,2,41,1,1,1,2,1,1,80705,81153,82832,89439,81443,83803,24287,35873,34740,41289,36260,20267,0
187,160000,1,2,1,39,3,3,3,3,3,3,50779,60831,63226,66415,58347,54341,3830,7566,5587,6568,7085,6425,0
188,240000,2,1,1,34,2,2,2,2,2,1,94884,98029,97095,109353,97388,88540,32053,19957,24669,34120,29593,22529,0
189,90000,1,3,1,27,0,1,0,0,1,1,41545,49140,55331,47350,45629,53782,31250,38647,31026,22896,35471,33412,0
190,250000,1,1,1,21,0,1,1,0,1,1,38634,40958,45689,35970,37247,35272,23132,17089,16307,16338,22639,18526,0
191,180000,2,1,2,30,3,3,3,3,3,3,129222,127850,121901,128264,105709,111236,3489,3594,3730,2566,2810,3274,0
192,130000,2,1,2,42,1,1,1,1,1,1,29257,23929,30330,29136,26957,20320,10353,12641,9422,13984,9766,7735,0
193,150000,2,1,1,36,1,2,1,1,1,1,10101,11395,12796,13641,12227,12513,3874,4483,4063,4823,3819,4589,0
194,200000,1,2,1,23,3,3,3,3,3,3,152695,140531,127380,120384,167354,105554,993,1034,490,934,1229,638,0
195,260000,2,1,2,36,1,0,0,0,0,0,110973,108080,129788,114048,113992,115495,48929,109530,41512,71818,92579,51575,0
196,160000,2,2,1,38,3,3,3,3,3,3,78946,70529,69638,76761,71575,89898,7869,7506,5172,6446,5556,7984,1
197,110000,2,2,1,27,0,0,1,1,1,0,58126,61329,67187,73551,54972,59947,30939,34901,33121,37308,26166,41821,0
198,130000,1,2,1,36,2,2,2,2,2,2,105813,84000,95385,104138,89640,99120,21419,16426,19285,24205,14399,16922,0
199,190000,2,1,1,35,1,1,1,1,1,1,31838,36845,31901,32312,34963,34633,13478,14738,13404,15555,13785,11452,0
200,140000,2,2,1,24,0,1,0,1,1,1,110447,98719,114366,107013,129794,118386,65508,69467,48231,68215,49446,72005,0
201,170000,2,2,1,38,1,1,2,1,1,2,137053,132176,144801,146591,145991,141000,34719,36979,49022,44720,46673,41794,0
202,210000,1,1,2,40,1,1,1,1,1,1,47398,49298,47533,48610,51282,47809,22801,15552,16460,17117,15631,13937,0
203,50000,2,3,1,44,1,1,1,0,0,0,6049,6838,8580,5852,6376,6487,3469,6049,6051,2579,3817,3734,0
204,150000,2,1,1,44,2,2,2,2,1,2,21135,22429,18526,19051,19824,19733,7875,6994,5010,6389,5288,5709,0
205,160000,2,2,1,22,3,3,3,3,3,3,35647,37554,33857,34411,35523,32447,3370,2942,2316,3389,2113,3200,0
206,120000,2,2,1,26,1,1,1,1,1,1,59070,60718,56833,56173,62173,48175,22410,11573,29582,23259,26592,26849,0
207,190000,1,1,2,39,3,3,2,2,3,2,124263,135034,112850,98286,96785,109016,28596,30535,21470,16278,11563,18118,0
208,100000,1,3,1,39,3,3,3,3,3,3,51092,52038,58058,43126,47188,51917,1887,1833,2122,2122,1141,1160,0
209,170000,2,1,2,39,2,2,2,2,2,1,81126,86962,84422,77204,62902,50881,28028,19820,19010,19873,15034,9037,1
210,160000,1,2,2,69,2,2,3,2,3,2,40727,33065,38459,32798,44110,38672,4872,5733,3454,4837,7672,7586,0
211,220000,2,1,1,40,1,1,0,0,1,0,111969,110489,87221,129818,123767,146083,88888,83671,66800,73186,51476,92817,0
212,140000,2,2,2,45,3,3,3,3,3,3,37426,43251,44701,43120,50558,39858,882,1471,831,1192,1317,947,0
213,150000,1,3,2,43,1,1,1,1,2,1,54895,62253,58450,62899,60720,53108,16482,25518,19729,19334,18744,15562,0
214,210000,2,2,2,40,3,3,3,3,3,3,119896,89170,113221,105898,109964,129002,7662,5405,7253,8222,9047,9646,0
215,160000,2,1,1,32,3,3,3,3,3,3,86512,90172,96610,99622,106051,104696,8761,8613,9179,8446,8479,4995,0
216,160000,2,2,2,41,3,3,3,3,3,3,7598,5656,6768,7257,7303,6263,539,505,648,436,739,392,1
217,130000,2,2,1,28,1,0,0,1,0,1,39833,28314,36536,36880,32061,38235,23852,19033,28113,17847,19325,18312,0
